num_groups,num_players,num_weeks,method,initial_violations,final_violations,improvement,time_seconds
4,8,3,RL,2,0,2,3.09
2,6,2,RL,2,2,0,3.07
10,40,3,RL,8,2,6,85.48
6,24,3,RL,13,7,6,20.22
10,30,3,RL,8,1,7,43.05
6,18,3,RL,10,5,5,11.01
9,36,3,RL,19,8,11,56.34
4,12,4,RL,11,2,9,4.79
7,35,2,RL,13,12,1,29.58
10,20,2,RL,0,0,0,14.27
8,24,4,RL,12,10,2,30.33
7,21,2,RL,4,0,4,11.19
4,16,4,RL,19,19,0,7.9
4,16,2,RL,5,5,0,6.55
9,36,2,RL,4,0,4,38.7
11,33,3,RL,5,5,0,57.63
2,8,3,RL,10,4,6,4.74
6,18,4,RL,9,9,0,14.22
8,16,4,RL,3,1,2,14.34
3,9,3,RL,9,0,9,3.1
7,28,3,RL,14,0,14,28.42
9,18,3,RL,0,0,0,15.45
3,12,2,RL,3,3,0,4.71
3,15,3,RL,22,17,5,7.41
4,16,3,RL,12,7,5,6.35
4,20,2,RL,5,4,1,8.15
5,10,3,RL,4,0,4,3.19
10,30,2,RL,3,1,2,27.8
2,8,2,RL,6,6,0,1.59
3,12,3,RL,13,9,4,4.96
8,32,7,RL,73,70,3,84.38
